;;;Total;C1: Security Apparatus;C2: Factionalized Elites;C3: Group Grievance;E1: Economy;E2: Economic Inequality;E3: Human Flight and Brain Drain;P1: State Legitimacy;P2: Public Services;P3: Human Rights;S1: Demographic Pressures;S2: Refugees and IDPs;X1: External Intervention
Country;Rank;Rank;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024
Somalia;1st;1st;111.3;9.7;10.0;9.0;9.2;9.0;8.5;9.7;9.5;8.7;10.0;9.0;9.0
Sudan;2nd;2nd;109.3;9.3;9.6;9.6;9.4;8.8;8.0;9.5;9.0;9.3;8.9;9.7;8.2
South Sudan;3rd;3rd;109.0;10.0;9.2;8.7;8.6;8.6;6.4;9.9;9.8;8.8;9.7;10.0;9.3
Syria;4th;4th;108.1;9.7;9.9;8.8;9.9;6.6;7.7;10.0;9.1;8.8;8.4;9.2;10.0
Congo Democratic Republic;5th;5th;106.7;8.3;9.9;9.4;8.2;8.5;6.3;9.4;9.2;9.0;9.8;9.9;8.8
Yemen;6th;6th;106.6;8.1;9.9;8.8;9.6;7.6;6.2;9.8;9.7;9.3;9.3;9.3;9.0
Afghanistan;7th;7th;103.9;9.2;8.7;8.0;9.6;8.3;7.0;9.6;9.7;8.8;8.9;8.1;8.0
Central African Republic;7th;7th;103.9;7.5;9.9;7.8;7.7;9.3;6.0;9.4;10.0;8.7;8.9;9.6;9.1
Haiti;9th;9th;103.5;7.0;9.7;5.8;8.6;8.9;8.0;10.0;9.9;9.2;8.9;7.8;9.7
Chad;10th;10th;102.7;8.4;9.5;8.4;8.1;8.4;7.4;8.7;9.6;8.1;9.0;9.5;7.6
Myanmar;11th;11th;100.0;9.3;9.0;9.4;7.8;7.2;6.0;9.5;9.2;9.6;7.1;8.9;7.0
Ethiopia;12th;12th;98.1;7.9;9.3;8.6;6.5;7.8;5.9;8.0;8.9;8.5;9.9;9.0;7.8
Palestine;13th;13th;97.8;8.0;8.3;6.2;7.0;7.0;9.4;8.8;8.0;8.1;9.0;8.0;10.0
Mali;14th;14th;97.3;9.7;7.6;8.2;7.0;6.9;7.4;8.7;8.9;7.6;9.1;8.2;8.0
Nigeria;15th;15th;96.6;8.7;9.6;8.3;8.9;8.0;6.6;8.3;8.9;8.3;9.6;6.1;5.3
Libya;16th;16th;96.5;9.2;9.0;7.0;8.4;6.9;4.9;9.3;7.7;9.4;7.0;8.4;9.3
Guinea;17th;17th;96.4;8.7;10.0;9.2;7.5;7.2;6.0;9.4;9.2;7.3;9.1;5.9;6.9
Zimbabwe;18th;18th;95.7;8.1;10.0;5.6;9.3;8.0;7.0;9.1;8.5;7.9;8.5;7.3;6.4
Niger;19th;19th;95.2;9.0;9.9;7.4;7.0;7.7;6.3;6.7;9.6;6.8;8.8;8.0;8.0
Cameroon;20th;20th;94.3;7.8;9.6;7.8;6.5;7.3;6.6;9.2;8.4;7.4;9.3;8.1;6.3
Burkina Faso;21st;21st;94.2;9.5;8.2;5.9;7.1;8.4;6.9;7.1;8.7;7.1;8.6;8.3;8.4
Ukraine;22nd;22nd;93.1;9.7;8.3;7.1;8.0;4.6;8.4;6.3;7.0;7.5;7.0;9.5;9.7
Lebanon;23rd;23rd;92.7;7.5;9.6;8.1;9.3;6.8;6.8;7.7;7.3;6.8;5.5;8.9;8.4
